Name,MIN,MIN Per Game,Point,Rebound,Assist,Steal,FG%,3P%,FT%,Age,Pos
DeAndre Jordan,2820,34.3902439,946,1226,61,81,71,25,39.7,27,C
DeJuan Blair,180,6.206896552,56,56,3,7,45.6,0,66.7,26,PF
DeMar DeRozan,2100,35,1204,277,210,73,41.3,28.4,83.2,26,SG
DeMarcus Cousins,2013,34.11864407,1421,747,210,90,46.7,25,78.2,25,C
DeMarre Carroll,2189,31.27142857,883,372,118,94,48.7,39.5,70.2,29,SF
Dennis Schroder,1516,19.68831169,768,164,317,49,42.7,35.1,82.7,22,PG
Deron Williams,2114,31.08823529,884,237,448,64,38.7,36.7,83.4,,
Derrick Favors,2280,30.81081081,1187,607,112,60,52.5,16.7,66.9,24,PF
Derrick Rose,1530,30,904,161,251,36,40.5,28,81.3,27,PG
Derrick Williams,1462,19.75675676,617,202,50,34,44.7,31.4,68.4,,
Devin Harris,1685,22.17105263,665,135,237,78,41.8,35.7,81.5,32,PG
Devyn Marble,208,13,37,31,17,9,31.8,18.2,31.3,23,SG
Dewayne Dedmon,845,14.3220339,216,295,9,16,56.2,0,53.1,26,C
Dion Waiters,2208,27.6,940,192,163,90,39.6,29.7,68,,
Dirk Nowitzki,2282,29.63636364,1333,457,143,39,45.9,38,88.2,37,PF
Donald Sloan,1107,20.88679245,391,143,190,23,40.8,31.3,77.9,27,PG
Donatas Motiejunas,2037,28.69014085,855,421,130,56,50.4,36.8,60.2,25,PF
Dorell Wright,593,12.35416667,219,111,41,20,37.9,38,81,,
Doug McDermott,321,8.916666667,109,43,6,4,40.2,31.7,66.7,23,SF
Draymond Green,2490,31.51898734,921,647,291,123,44.3,33.7,66,25,PF
Drew Gooden,864,16.94117647,277,223,49,21,39.9,39,77.3,34,PF
Drew Gordon,71,7.888888889,17,18,2,1,42.1,0,50,25,PF
Dwight Buycks,123,20.5,52,12,14,3,45,63.6,90,26,PG
Dwight Howard,1223,29.82926829,646,431,50,28,59.3,50,52.8,30,C
Dwight Powell,236,8.137931034,90,50,9,9,46.3,27.3,75.8,24,PF
Dwyane Wade,1971,31.79032258,1331,219,299,73,47,28.4,76.8,,
Earl Barron,143,8.9375,32,28,5,4,30.8,50,50,34,C
Earl Clark,93,9.3,27,23,3,3,36.7,28.6,25,27,PF
Ed Davis,1840,23.29113924,656,600,94,49,60.1,0,48.7,26,PF
Ekpe Udoh,128,3.878787879,29,26,8,8,45.8,0,77.8,,
Elfrid Payton,2489,30.35365854,731,349,533,142,42.5,26.2,55.1,21,PG
Elijah Millsap,924,19.65957447,248,150,58,56,34,31.1,67.4,,
Elliot Williams,119,9.153846154,37,8,12,4,37.8,44.4,25,,
Elton Brand,486,13.5,96,100,22,17,44.2,0,52.2,36,C
Enes Kanter,2136,28.48,1163,671,55,36,51.9,35.6,78.2,23,C
Eric Bledsoe,2800,34.56790123,1377,423,493,127,44.7,32.4,80,26,PG
Eric Gordon,2018,33.08196721,818,159,229,50,41.1,44.8,80.5,27,SG
Erick Green,410,9.534883721,146,31,39,12,37.7,29.8,83.3,24,PG
Ersan Ilyasova,1319,22.74137931,669,277,56,36,47.2,38.9,64.5,28,PF
E'Twaun Moore,504,9,149,46,33,20,44.6,34.2,60,26,SG
Evan Fournier,1661,28.63793103,698,153,120,40,44,37.8,72.8,23,SG
Evan Turner,2260,27.56097561,779,417,449,83,42.9,27.7,75.2,26,C
Festus Ezeli,504,10.95652174,201,155,9,7,54.7,0,62.8,,
Francisco Garcia,200,14.28571429,45,17,15,9,27,22.2,25,34,SF
Furkan Aldemir,540,13.17073171,93,176,28,17,51.3,0,48.1,24,PF
Gal Mekel,43,10.75,6,1,13,2,15,0,0,27,PG
Garrett Temple,736,14.15384615,204,90,56,42,40,37.5,72.9,29,SG
Gary Harris,719,13.07272727,188,64,29,39,30.4,20.4,74.5,21,SG
Gary Neal,1192,22.07407407,543,129,100,23,37.4,30.5,86.7,31,SG
George Hill,1267,29.46511628,692,179,220,44,47.7,35.8,79,29,PG
Gerald Green,1446,19.54054054,884,186,91,42,41.6,35.4,82.5,29,SG
Gerald Henderson,2315,28.9375,969,273,206,51,43.7,33.1,84.8,28,SG
Gerald Wallace,286,8.9375,35,57,11,15,41.2,33.3,40,,
Giannis Antetokounmpo,2541,31.37037037,1030,542,207,73,49.1,15.9,74.1,21,SG
Gigi Datome,209,9.952380952,105,29,9,2,48.3,45,100,,
Glen Davis,904,12.21621622,294,169,39,41,45.9,0,63.2,29,PF
Glen Rice,43,8.6,11,4,2,0,20,14.3,66.7,24,SG
Glenn Robinson III,261,7.457142857,73,39,11,6,38.8,26.3,66.7,,
Goran Dragic,2640,33.84615385,1275,274,350,78,50.1,34.7,77.4,29,SG
Gordon Hayward,2618,34.44736842,1463,373,313,108,44.5,36.4,81.2,25,SF
Gorgui Dieng,2193,30.04109589,710,609,146,71,50.6,16.7,78.3,25,C
Grant Jerrett,51,6.375,16,9,3,2,26.9,6.7,100,22,PF
Greg Monroe,2137,30.97101449,1098,704,142,78,49.6,0,75,25,PF
Greg Smith,363,8.642857143,80,79,9,7,61.2,0,51.3,24,PF
Greg Stiemsma,66,3.882352941,14,15,3,2,75,0,50,30,C
Greivis Vasquez,1991,24.2804878,775,216,302,46,40.8,37.9,75.8,28,PG
Harrison Barnes,2318,28.26829268,827,453,116,61,48.2,40.5,72,23,SF
Hassan Whiteside,1142,23.79166667,564,482,6,27,62.8,0,50,,
Hedo Turkoglu,705,11.37096774,232,99,37,19,44.1,43.2,54.5,,
Henry Sims,1399,19.16438356,586,359,79,39,47.4,18.2,77.4,,
Henry Walker,628,26.16666667,175,82,29,24,34.5,34.1,77.8,,
Hollis Thompson,1776,25.01408451,626,198,85,57,41.3,40.1,70.8,,
Ian Clark,192,6.4,57,16,12,9,34.5,33.3,100,24,SG
Ian Mahinmi,1146,18.78688525,265,356,33,30,55.2,0,30.4,29,C
Iman Shumpert,1545,24.91935484,496,224,135,81,41,34.2,67.2,25,SG
Isaiah Canaan,938,19.95744681,432,87,98,29,38.6,37,81.7,24,PG
Isaiah Thomas,1726,25.76119403,1101,153,284,57,42.1,37.3,86.8,26,PG
Ish Smith,831,15.10909091,338,100,180,36,39,30,59.6,,
J.J. Barea,1362,17.68831169,580,134,263,33,42,32.3,80.9,31,PG
Jabari Brown,568,29.89473684,227,36,40,12,41.2,37.1,75.3,23,SG
Jabari Parker,738,29.52,308,138,42,31,49,25,69.7,,
Jack Cooley,87,5.4375,27,25,1,6,40.9,0,42.9,24,PF
Jae Crowder,1647,20.08536585,628,293,94,72,42,29.3,77.3,25,SF
JaKarr Sampson,1131,15.28378378,386,163,77,38,42.2,24.4,67,,
Jamaal Franklin,13,4.333333333,3,2,3,0,50,50,0,24,SG
Jamal Crawford,1703,26.609375,1010,124,158,59,39.6,32.7,90.1,35,SG
